clean_article_text,clean_summary_text
"Liputan6 . com , Jakarta : Presiden Susilo Bambang Yudhoyono menekankan bahwa tantangan terbesar yang dihadapi bangsa-bangsa Asia dan Afrika saat ini adalah masalah kemiskinan yang sangat buruk . Yudhoyono berharap masalah ini menjadi pembahasan penting dalam Konferensi Tingkat Tinggi Asia-Afrika . Demikian pidato Yudhoyono saat membuka KTT Asia-Afrika di Jakarta Convention Centre , Jakarta , Jumat ( 22/4 ) [ baca : Presiden Yudhoyono Resmi Membuka KAA ] . Pada awal pidatonya , Yudhoyono para peserta untuk mengheningkan cipta sejenak bagi korban gempa dan Tsunami di Nanggroe Aceh Darussalam dan Nias , Sumatra Utara . Selanjutnya , Yudhoyono menegaskan pertemuan ini bukanlah sekadar romantisme , tetapi upaya bersama untuk memecahkan masalah yang dihadapi kedua benua . Acara pembukaan konferensi ini juga dihadiri Sekretaris Jenderal Perserikatan Bangsa-Bangsa Kofi Annan yang datang sebagai tamu kehormatan . Meski fokusnya adalah mempererat hubungan antara Asia dan Afrika , konferensi ini dipastikan akan diwarnai sejumlah pertemuan bilateral . KTT Asia-Afrika akan berlangsung selama dua hari . Kegiatan ini akan diakhiri dengan acara napak tilas ke Kota Bandung , Jawa Barat , tempat berlangsungnya Konferensi Asia Afrika pada 1955 . Sementara itu , para istri kepala negara yang hadir di peringatan emas KAA mengikuti Ladies Program yang disuguhkan Ibu Negara Nyonya Ani Yudhoyono . Acara gelar budaya indonesia ini berlangsung di Sasono Langen Budoyo , Taman Mini Indonesia Indah , Jakarta Timur . Kegiatan yang dimulai sekitar pukul 10 . 30 WIB ini diawali dengan tarian dan atraksi selamat datang Reog Ponorogo . Ibu Ani menyalami satu per satu ibu negara dari 28 negara peserta yang datang . Kemudian dilanjutkan dengan acara foto bersama . Dalam sambutannya , Ibu Ani berharap agar semangat KAA semakin mempererat hubungan antarbangsa di benua Asia dan Afrika . Selanjutnya Ibu Negara dan para tamu menyaksikan peragaan busana dari tiga perancang busana Indonesia yakni Ramli , Adjie Notonegoro , dan Afif Syakur . Kunjungan ke beberapa anjungan yang ada di TMII juga dilakukan . ( AWD/Ali Rojihi dan Teguh Dwi Hartono ) .","Menurut Presiden Susilo Bambang Yudhoyono , kemiskinan kini menjadi masalah serius yang dihadapi bangsa-bangsa di Asia dan Afrika . Diharapkan masalah ini menjadi agenda penting dalam KTT Asia-Afrika ."
"Liputan6 . com , Jakarta : Perdana Menteri Jepang Junichiro Koizumi meminta maaf atas kekejaman tentara Jepang pada masa Perang Dunia II di Asia . Permohonan maaf secara formal itu Koizumi utarakan di depan pemimpin negara-negara Asia dan Afrika dalam Konferensi Tingkat Tinggi Asia-Afrika di Jakarta Convention Center , Jumat ( 22/4 ) . Koizumi mengatakan , pada masa silam Jepang terlalu ambisius untuk berkuasa . Ternyata , ambisi itu justru menimbulkan kerusakan dan penderitaan luar biasa bagi penduduk di sejumlah negara , terutama di Asia . "" Untuk itu Jepang minta maaf , "" kata Koizumi . Selain meminta maaf , Koizumi berharap KAA dapat membantu mempererat persahabatan antara Jepang dan negara-negara di Asia serta Afrika . Jepang , tambah Koizumi , siap memberikan sumbangan dan bantuan bagi negara-negara Asia dan Afrika yang membutuhkan . Pernyataan Koizumi membuat heran para pengamat . Menurut mereka , ini kejadian langka . Mereka menduga , pernyataan Koizumi terkait dengan makin panasnya hubungan Jepang dan Cina akhir-akhir ini . Jepang ingin meredakan ketegangan melalui negara-negara peserta KAA . Hubungan Cina-Jepang memang terus memburuk sejak Jepang menyetujui penerbitan buku pelajaran sejarah nasional Jepang , awal April 2005 . Apalagi buku itu sama sekali tak menceritakan kekejaman tentara Jepang selama masa PD II di Asia dan Pasifik . Istilah Negeri Samurai saat itu adalah Dai Toa Senso atau Perang Asia Timur Raya [ baca : Cina Menolak Meminta Maaf kepada Jepang ] . ( ICH/Tim Liputan 6 SCTV ) .","Pada masa silam Jepang terlalu ambisius untuk berkuasa . Ternyata , ambisi itu justru menimbulkan kerusakan dan penderitaan luar biasa bagi penduduk di sejumlah negara , terutama di Asia ."
"Liputan6 . com , Kutai : Banjir dengan ketinggian dua meter di Kabupaten Kutai Barat dan Kutai Kartanegara , Kalimantan Timur , merendam puluhan hektare areal persawahan . Dari pantauan SCTV , baru-baru ini , areal persawahan yang sebagian sudah siap panen maupun siap tanam tidak kelihatan lagi . Bencana terjadi disebabkan genangan air bah yang meluas dan berkepanjangan di dua kabupaten itu [ baca : Banjir Meluas di Kutai ] . Sejumlah warga menuturkan , banjir yang menggenangi lahan persawahan yang berlokasi tak jauh dari bantaran aliran Sungai Mahakam ini naik secara perlahan-lahan dalam beberapa hari terakhir . Mereka tidak menyangka ketinggian air akhirnya mencapai sawah milik mereka . Jamri , petani yang memiliki areal lima hektare sawah mengaku merugi hingga ratusan juta rupiah . Banjir merendam semua sawah miliknya . Ironisnya lagi , areal persawahan yang telah tertutup air kini menjadi tempat untuk lalu lintas perahu bermotor antarkampung . ( AIS/Polmart Aritonang ) .","Puluhan hektare areal persawahan yang sebagian siap panen maupun siap tanam tidak kelihatan lagi . Jamri , petani yang memiliki lima hektare sawah mengaku merugi hingga ratusan juta rupiah ."
"Liputan6 . com , Jakarta : Presiden Susilo Bambang Yudhoyono menggelar pertemuan bilateral dengan Sekretaris Jenderal Perserikatan Bangsa-Bangsa Kofi Annan dan Wakil Deputi Perdana Menteri Palestina Nabil Saad . Pertemuan dilangsungkan di sela-sela Konferensi Tingkat Tinggi Asia-Afrika ( KAA II ) di Jakarta Convention Center , Jumat ( 22/4 ) sekitar pukul 14 . 00 WIB . Presiden Yudhoyono dan Annan membicarakan berbagai hal , termasuk dukungan PBB terhadap pembangunan kembali Aceh pasca-Tsunami . Annan juga menyambut baik pertemuan Helsinki untuk membahas penyelesaian konflik Indonesia dan Gerakan Aceh Merdeka . Dia berharap pertemuan itu menghasilkan keputusan permanen dan komprehensif . Annan pun memuji langkah Presiden Yudhoyono mengunjungi Timor Leste . Sedangkan Saad mengucapkan terima kasih kepada Presiden Yudhoyono atas dukungan penuh Indonesia terhadap upaya kemerdekaan Palestina . Saad juga meminta Indonesia berperan aktif dalam mengupayakan perdamaian di Timur Tengah . Siang tadi , Presiden Yudhoyono sempat melaksanakan salat Jumat bersama seluruh kepala negara dan delegasi peserta KAA . Salat dilangsungkan di Ballroom Hotel Hilton , tak sejalan dengan rencana semula yang sedianya dilaksanakan di Masjid Istiqlal , Jakarta Pusat . Faktor keamanan menjadi pertimbangan pemindahan [ baca : Presiden Yudhoyono Resmi Membuka KAA ] . Presiden Yudhoyono , malam ini , dijadwalkan makan malam dengan seluruh kepala negara dan delegasi peserta KAA . Acara akan dilangsungkan di Istana Negara , Jakpus . ( ICH/Tim Liputan 6 SCTV ) .",Sekjen PBB Kofi Annan memuji langkah Presiden Susilo Bambang Yudhoyono mengunjungi Timor Leste untuk rekonsiliasi . Dia juga mendukung penuh upaya pembangunan kembali Aceh pasca-Tsunami .
"Liputan6 . com , Solok : Warga Kampung Batu Dalam , Kecamatan Danau Kembar , Kabupaten Solok , Sumatra Barat , Jumat ( 22/4 ) , ramai-ramai membersihkan ruangan sekolah . Sekolah Dasar 08 Kampung Teluk Dalam termasuk sekolah yang paling parah terkena bencana . Seperti disaksikan SCTV , seluruh ruangan kelas tertutup debu setebal satu sentimeter . Warga terpaksa turun tangan membersihkan ruangan sekolah dan fasilitas pendukung sehingga aktivitas pendidikan dapat dimulai Senin pekan depan . Gedung Sekolah Menengah Umum Negeri 1 Danau Kembar yang sebelumnya dipakai untuk menampung pengungsi , juga belum dapat digunakan . Banyak peralatan sekolah seperti meja dan kursi yang rusak . Selain itu lantai ruangan juga kotor dan banyak sampah yang ditinggalkan pengungsi [ baca : Aktivitas Sekolah di Gunung Talang Belum Normal ] . Aktivitas Gunung Talang , cenderung menurun . Tak lagi terdengar letusan atau gempa vulkanik dari gunung berapi ini . Meski begitu , warga yang bermukim di kaki gunung diminta waspada dari ancaman bahaya lahar dingin jika hujan lebat turun [ baca : Aktivitas Gunung Talang Menurun ] . ( YYT/Deni Risman ) .","Untuk mempercepat pelaksanaan belajar-mengajar , warga Kampung Batu Dalam , Kecamatan Danau Kembar , Kabupaten Solok , Sumatra Barat , bergotong-royong membersihkan bangunan sekolah dasar yang tertutup debu ."
"Liputan6 . com , Jakarta : Istri-istri kepala negara peserta Konferensi Tingkat Tinggi Asia-Afrika ( KAA II ) disuguhi pergelaran budaya tradisional Indonesia di Taman Mini Indonesia Indah , Jakarta Timur , Jumat ( 22/4 ) . Pergelaran ini selain untuk mengikat persahabatan juga bertujuan untuk meningkatkan kerja sama dalam bidang seni dan budaya [ baca : Yudhoyono Berharap Masalah Kemiskinan Menjadi Bahasan Penting ] . Acara yang dipimpin Ibu Negara Ani Yudhoyono ini dibuka dengan Tari Rampai atau yang dikenal dengan Tari Saman . Tarian asal Nanggroe Aceh Darussalam ini memukau para istri kepala negara . Para tamu juga disuguhi tarian dari Bali dan Papua . Budaya Indonesia yang juga ditampilkan adalah kain batik . Karya tradisional anak bangsa ini ditampilkan lewat peragaan busana yang melibatkan perancang ternama seperti Ramli , Afif Syakur dan Adjie Notonegoro . Perancang ini mempunyai ciri khas masing-masing . Ramli dikenal dengan batik bordirnya , Afif Syakur batik tenun dan Adjie mengusung batik songket . ( YYT/Ali Rojihi dan Teguh Dwihartono ) .","Bertempat di Taman Mini Indonesia Indah , Ibu Negara Ani Yudhoyono menjamu istri-istri kepala negara peserta KTT Asia Afrika dengan pergelaran budaya tradisional kebanggaan Indonesia ."
"Liputan6 . com , Jayapura : Kolonel Richard Ginting dinonaktifkan dari jabatan Kepala Pusat Koperasi TNI Angkatan Darat Komando Daerah Militer XVII Trikora . Mantan Kepala Staf Komando Resor Militer Sorong , Papua , ini diduga terlibat dalam kegiatan pembalakan kayu . Hal itu diungkapkan Panglima Daerah Militer XVII Trikora Mayor Jenderal TNI Nurdin Zainal usai serah terima jabatan Komandan Korem 172 Praja Wirayakti di Jayapura , Papua , Kamis ( 21/4 ) . Menurut Nurdin , pemecatan Richard menyusul hasil temuan Tim Hutan Lestari II . Richard dinyatakan terlibat bisnis kayu ilegal ketika berpangkat letnan kolonel atau saat menjabat Kasrem Sorong . Saat ini , Richard ditahan Polisi Militer Sorong untuk memudahkan penyidikan . Sebelumnya , Puspom TNI juga menahan seorang perwira bernama Kapten Kaspar yang memiliki kayu batangan sebanyak 4 . 500 batang tanpa disertai dokumen yang sah [ baca : Hutanku Hijau , Hutanku Terus Dibabat ] . ( AWD/Ruba i Kadir ) .","Kolonel Richard Ginting dinyatakan terlibat bisnis kayu ilegal ketika berpangkat letnan kolonel atau saat menjabat Kasrem Sorong , Papua . Kini , dia ditahan Polisi Militer Sorong untuk memudahkan penyidikan ."
"Liputan6 . com , Jakarta : Konferensi Asia Afrika dibuka di Jakarta , Jumat ( 22/4 ) ini . Pertemuan ini dilaksanakan di Jakarta Convention Center . Sebanyak 105 negara mengutus delegasi untuk hadir dalam kesempatan ini . Sebagian di antaranya malah mengikutsertakan kepala negara . Bahkan , Sekretaris Jenderal Perserikatan Bangsa-Bangsa Kofi Annan duduk sebagai tamu kehormatan . Para delegasi berkumpul dengan semangat yang sama , mempererat tali persahabatan dan saling membantu untuk menciptakan kesejahteraan bersama . Sejarah 50 tahun silam seperti terulang . Kala itu , berbekal semangat untuk melepaskan diri dari belenggu kolonialisme dan pengaruh dua blok ideologi , KAA berlangsung . Bermula dari pertemuan Kolombo , Srilanka , awal 1954 . Hadir dalam pertemuan ini Perdana Menteri Srilanka Sir John Kotelawala , PM Burma U Nu , dan PM India Jawaharlal Nehru . Dari Indonesia hadir Ali Sastroamidjojo dan Muhammad Ali Bogra mewakili Pakistan . Dalam pertemuan ini , kelima tokoh itu menemukan kesamaan kondisi yang dialami bangsa masing-masing . Kemudian timbul keinginan untuk memperluas pembicaraan dengan melibatkan lebih banyak negara-negara di Asia dan Afrika yang diperkirakan memiliki problematika yang sama . Akhirnya pada 18 sampai 24 April 1955 terlaksana KAA . Sebanyak 24 kepala negara dengan 1 . 300 anggota delegasi hadir di Bandung , Jawa Barat . Dua gedung bersejarah yakni Gedung Concordia dan Gedung Dana Pensiun yang kemudian diubah namanya oleh Presiden Soekarno menjadi Gedung Merdeka dan Dwi Warna menjadi arena pertemuan . Adalah pidato Soekarno yang menjadi jiwa dalam konferensi ini . Dalam pidato yang berjudul "" Lahirlah Asia dan Afrika yang Baru "" , Sukarno mengatakan kejayaan bangsa-bangsa kedua benua sangat bergantung pada persatuan negara-negara di dalamnya . Pertemuan ini melahirkan sebuah komunike bersama yang dikenal dengan Dasa Sila Bandung . Lima puluh tahun telah berlalu . Tak ada lagi Soekarno . Kini , Presiden Susilo Bambang Yudhoyono yang melanjutkan . Dalam pidato pembukaan , Yudhoyono menekankan pentingnya bangsa-bangsa di Asia dan Afrika duduk bersama membicarakan masalah kemiskinan yang dihadapi saat ini [ baca : Yudhoyono Berharap Masalah Kemiskinan Menjadi Bahasan Penting ] . Mulai hari ini dan beberapa hari mendatang , semua peserta berkesempatan untuk merumuskan permasalahan tersebut . Acara ini akan ditutup pada 24 April mendatang . Napak tilas untuk memperingati 50 tahun KAA dilaksanakan di Bandung , Jawa Barat , pada hari itu . Sebagai simbol perdamaian bangsa-bangsa di Asia dan Afrika , gong berukuran raksasa dengan diameter dua meter dan berat 270 kilogram akan dipasang . Seluruh delegasi negara yang hadir berkesempatan memukul gong tersebut . Gong perdamaian berjumlah dua buah . Salah satu di antaranya akan disimpan di Afrika Selatan . Sedangkan satu lagi akan disimpan di Gedung Merdeka , Bandung . Alat ini memiliki empat bagian yakni lingkaran luar , tengah , dan lingkaran dalam serta puncak . Di lingkaran luar dipasang bendera dan lambang negara peserta konferensi . Tiang penyangga gong terbuat dari kayu jati tanpa sambungan . Gong raksasa ini dibuat di Solo , Jateng , selama dua bulan dengan biaya US$ 175 . 500 atau sekitar Rp 1 , 7 miliar . Diperlukan puluhan orang untuk menggotong dan memasang gong ini . Dari Solo , gong akan diarak melewati Semarang , Jakarta , hingga berakhir di Bandung . ( AWD/Tim Liputan 6 SCTV ) .","Setelah 50 tahun berlalu , Konferensi Asia Afrika kembali digelar . Sebanyak 105 delegasi negara hadir dengan semangat yang sama dalam acara yang berlangsung di Jakarta , 22-24 April 2004 ."
"Liputan6 . com , Nias : Warga Nias , Sumatra Utara , panik . Mereka secara bergelombang kembali mengungsi . Warga takut karena ada isu Tsunami segera menghajar Nias menyusul gempa berkekuatan 4 , 5 pada skala Richter , dini hari kemarin . Demikian hasil pantauan SCTV di Nias , Jumat ( 22/4 ) . Sampai siang tadi , masih ada warga yang mengungsi . Bahkan pengungsi yang tinggal di sejumlah tenda darurat pun ikut panik . Mereka langsung pergi ke daerah lebih tinggi di Bukit Hili Adulo . Sedangkan sebagian lainnya bergerak menuju Sibolga . Situasi Nias kembali kacau . Bupati Nias Binahati Baeha sampai turun tangan . Dia langsung mengimbau warga di kawasan Muzei , Nias tidak resah . Berulang kali Bupati Nias meminta warga agar tidak mempercayai isu itu . Binahati mengatakan , gempa susulan memang masih mungkin menggoyang Nias . Tapi dia memastikan gempa tak akan melahirkan Tsunami [ baca : Gempa Susulan Masih Mungkin Terjadi ] . "" Nias tak akan tenggelam , "" kata Binahati . ( ICH/Tim Liputan 6 SCTV ) .","Mereka langsung pergi ke daerah lebih tinggi di Bukit Hili Adulo begitu isu Tsunami kembali menerpa Nias , Sumatra Utara . Sedangkan sebagian lainnya bergerak menuju Sibolga ."
"Liputan6 . com , Jakarta : Komisi XI dan III DPR masih mempelajari secara detail hasil audit investigasi Badan Pemeriksa Keuangan terhadap sejumlah proyek pengadaan barang dan jasa Komisi Pemilihan Umum . Setelah itu baru dua komisi ini akan menentukan sikapnya . Namun secara umum , Ketua Komisi III DPR Teras Narang menilai , laporan itu sudah bisa dijadikan acuan bagi penegak hukum untuk mengklarifikasi benar tidaknya ada penyimpangan penggunaan keuangan negara . "" Adalah menjadi kewajiban bagi institusi penegak hukum untuk mengklarifikasi , "" jelas Teras Narang di Jakarta , Jumat ( 22/4 ) . Sedangkan Ketua Komisi IX DPR Paskah Suzetta mengatakan , pihaknya masih akan memilah-milah antara penyimpangan administratif , prosedural dan penyimpangan tindak pidana . Khusus buat penyimpangan tindak pidana , Komisi IX DPR akan menyikapinya dengan cara politis . "" Terus menyerahkan kepada aparatur [ penegak hukum ] untuk ditindaklanjuti sampai ke pengadilan , "" jelas Paskah [ baca : Rp 90 Miliar Penyimpangan pada Pemilu Legislatif ] . Sementara KPU pun akan memberikan tanggapan atas laporan audit investigasi BPK tersebut . Tanggapan KPU ini rencananya disampaikan dalam jumpa pers khusus pada Senin depan . Menurut anggota KPU Valina Singka , jumpa pers akan dilakukan semua anggota agar masyarakat mendapat penjelasan lengkap mengenai persoalan sebenarnya . Perlu diketahui , hasil audit investigasi BPK menyebutkan ada indikasi kerugian negara pada proyek pengadaan barang dan jasa di KPU untuk pemilihan umum legislatif 2004 . Jumlah kerugian diperkirakan mencapai Rp 90 miliar . Proyek pengadaan yang paling besar indikasi korupsinya adalah kotak suara yakni sekitar Rp 50 miliar . Namun total uang negara yang tidak dapat dipertanggungjawabkan mencapai Rp 66 miliar . Indikasi pelanggaran pada proyek pengadaan kotak suara terdapat pada adanya rekayasa untuk memenangkan PT Survindo Indah Prestasi . BPK menemukan adanya komitmen dari perusahaan itu untuk memberikan dana kepada KPU jika mereka memenangkan tender . Selain itu ada manipulasi spesifikasi teknik kotak suara , yakni ketebalan aluminiumnya menjadi lebih kecil dari yang disyaratkan . Penanggungjawab pengadaan kotak suara ini adalah Mulyana Wira Kusumah Sedangkan untuk pengadaan surat suara , hasil audit investigasi BPK mendapati indikasi pelanggaran . Antara lain panitia menaikkan harga pencetakan lebih besar dari harga yang sudah ditetapkan negara . Bukan itu saja . Jumlah surat suara yang dicetak pun lebih besar dari yang seharusnya . Untuk pelanggaran ini , BPK memperkirakan kerugian negara sampai Rp 12 , 6 miliar . Di sini Mulyana juga menjadi panitia tender . Untuk pengadaan tinta , hasil audit investigasi BPK menemukan setidaknya empat pelanggaran . Di antaranya harga kontrak untuk tinta lokal dengan impor disamakan . Anehnya lagi tidak menggunakan harga penawaran terendah . Sedangkan pemenang tender menggelapkan bea masuk dan pajak dengan memalsukan dokumen invoice . Penanggungjawab pengadaan tinta sidik jari ini adalah anggota KPU Rusadi Kantaprawira . BPK memperkirakan kerugian negara mencapai Rp 3 , 3 miliar . Sedangkan buat pengadaan teknologi informasi ( TI ) , indikasi pelanggaran ditemukan pada rekayasa panitia lelang bersama tim ahli KPU untuk memenangkan salah satu peserta tender . Adanya kelebihan perhitungan harga yang dilaksanakan PT Integrasi Teknologi Terbuka . Proyek ini dipimpin Chusnul Mar iyah . Untuk proyek itu negara diperkirakan dirugikan sekitar Rp 154 juta , jumlah paling rendah dari semua proyek yang diaudit oleh BPK . BPK justru menemukan paling banyak pelanggaran dalam proyek sampul surat suara . Pelanggaran paling serius yakni panitia tidak melakukan prakualifikasi terhadap perusahaan pemotongan kertas dan percetakan sampul surat suara . Pelanggaran lain adalah melakukan pencetakan melebihi yang ditetapkan dalam surat keputusan KPU . Akibat semua pelanggaran ini , kerugian negara diperkirakan mencapai Rp 7 miliar . Proyek ini diketuai anggota KPU Daan Dimara yang sudah berkali-kali diperiksa Komisi Pemberantasan Korupsi . Komisi XI dan III DPR masih mempelajari secara detail hasil audit investigasi BPK terhadap KPU sebelum menentukan sikap . Namun secara umum , menurut Ketua Komisi III DPR Teras Narang , laporan itu sudah bisa digunakan sebagai acuan bagi aparat penegak hukum untuk mengklarifikasi benar tidaknya ada penyimpangan penggunaan keuangan negara . ( DEN/Tim Liputan 6 SCTV ) .","Komisi IX DPR masih akan memilah-milah antara penyimpangan administratif , prosedural dan penyimpangan tindak pidana yang tercantum dalam hasil audit investigasi BPK terhadap Komisi Pemilihan Umum ."
